Order.ID,Order.Date,Ship.Date,Ship.Mode,Customer.ID,Customer.Name,Segment,Country,City,State,Region,Category,Sub.Category,Product.Name,Sales,Quantity,Discount,Profit
CA-2015-145316,2015-09-17,2015-09-19,First Class,BF-11020,Brian Ferguson,Consumer,United States,Houston,Texas,Central,Office Supplies,Envelopes,Recycled Interoffice Envelopes with String and Button Closure,29.472,6,0,13.5576
US-2017-156175,2017-06-11,2017-06-15,Standard Class,CC-12220,Clay Cheatham,Consumer,United States,San Francisco,California,West,Technology,Phones,GE 30524EE2 Corded,29.472,6,0,13.5576
CA-2016-150804,2016-06-30,2016-07-05,Standard Class,RR-19600,Roy Rhoads,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Art,BIC Brite Liner Highlighters,7.84,4,0,3.616
US-2017-154023,2017-04-18,2017-04-22,Standard Class,MO-18205,Mick Otten,Consumer,United States,Grand Rapids,Michigan,Central,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,239.52,2,0,119.76
CA-2017-143980,2017-08-13,2017-08-15,First Class,JO-15145,Jim Olver,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,Memorex Slim USB Speakers,65.704,4,0,30.2738
CA-2017-146703,2017-10-20,2017-10-23,First Class,JO-15145,Jim Olver,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Xerox 1916,7.2,6,0,3.168
CA-2015-164175,2015-04-18,2015-04-23,Standard Class,JO-15145,Jim Olver,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,Eldon Jumbo ProStyle Pencil Sharpener Putty Beige,21.792,2,0,9.8496
US-2015-143813,2015-11-06,2015-11-11,Standard Class,SV-20095,Sam Villanueva,Consumer,United States,Seattle,Washington,West,Office Supplies,Storage,Fellowes Super Stor Drawer Files Letter RC,60.768,3,0,15.7997
CA-2017-109183,2017-05-22,2017-05-26,Standard Class,JM-15745,Justin MacAllister,Consumer,United States,San Francisco,California,West,Technology,Accessories,Imation 2GB USB Flash Drive,16.74,3,0,6.2775
US-2017-119043,2017-03-25,2017-03-30,Standard Class,KC-16525,Ken Carney,Consumer,United States,Orem,Utah,West,Office Supplies,Fasteners,OIC Binder Clips,3.984,4,0.3,0.597
CA-2014-160304,2014-10-21,2014-10-28,Standard Class,CJ-12010,Christopher Jones,Consumer,United States,Decatur,Illinois,Central,Office Supplies,Binders,Avery Durable Slant Ring Binders,5.584,2,0,2.2336
CA-2016-139451,2016-09-17,2016-09-21,Standard Class,JR-16210,Jas Reyes,Consumer,United States,New York City,New York,East,Office Supplies,Paper,It's Hot Message Books with Stickers by Hot Frog,15.2,5,0,6.46
CA-2016-139451,2016-09-17,2016-09-21,Standard Class,JR-16210,Jas Reyes,Consumer,United States,New York City,New York,East,Technology,Accessories,StarTech USB-to-Serial Adapter,52.776,3,0,26.388
US-2016-142181,2016-02-13,2016-02-16,First Class,LB-16930,Linda Boling,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Copiers,Sharp AL-1530CS Digital Copier,2199.98,1,0.2,879.992
CA-2015-143262,2015-05-21,2015-05-24,First Class,LB-16930,Linda Boling,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Copiers,Canon PC-940 Copier,1099.99,1,0.2,439.996
CA-2015-106299,2015-04-25,2015-04-30,Standard Class,LB-16930,Linda Boling,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,GBC Wire Binding Combs,6.16,2,0,3.08
CA-2015-106299,2015-04-25,2015-04-30,Standard Class,LB-16930,Linda Boling,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Xerox 1979,27.96,3,0,12.5820
US-2015-148999,2015-10-29,2015-11-02,Standard Class,HC-14890,Harold Campbell,Consumer,United States,Atlanta,Georgia,South,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2017-127734,2017-10-20,2017-10-26,Standard Class,AH-10465,Andrew Hines,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Cardinal Slant-D Ring Binder Heavy Gauge Vinyl,27.84,3,0,10.0224
CA-2014-131380,2014-12-08,2014-12-13,Standard Class,MK-17905,Michelle Knight,Consumer,United States,Columbus,Ohio,East,Technology,Phones,Aastra 57i VoIP phone,524.148,4,0.3,52.4148
CA-2017-144568,2017-01-23,2017-01-27,Standard Class,TV-21190,Tom Vincent,Consumer,United States,Seattle,Washington,West,Office Supplies,Paper,Xerox 1952,61.552,7,0,27.6984
CA-2014-167457,2014-04-11,2014-04-15,Second Class,MH-17905,Matt Hutchinson,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,Global Leather Task Chair Black,213.115,5,0.45,-106.5575
CA-2017-149223,2017-10-09,2017-10-14,Standard Class,AW-10600,Andrew Willliams,Consumer,United States,Henderson,Kentucky,South,Office Supplies,Binders,Avery Non-Stick Binders,5.88,3,0,2.646
US-2017-103424,2017-01-29,2017-02-03,Standard Class,SL-20710,Steve Lindsey,Consumer,United States,San Francisco,California,West,Technology,Accessories,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,62.3,5,0,24.9200
